,Brnd_Name,Gnrc_Name,Tot_Mftr,Mftr_Name,Year,CAGR_Avg_Spnd_Per_Dsg_Unt_19_23,Chg_Avg_Spnd_Per_Dsg_Unt_22_23,Avg_Spnd_Per_Bene,Avg_Spnd_Per_Clm,Avg_Spnd_Per_Dsg_Unt_Wghtd,Outlier_Flag,Tot_Benes,Tot_Clms,Tot_Dsg_Unts,Tot_Spndng,ATC_Codes,Disease_Category
534,Acetazolamide ER,Acetazolamide,7,Overall,2023,-0.116141931,-0.210398027,188.6117601,77.693383071,1.0930203923,0.0,33680.0,81763.0,5862850.0,6352444.08,S01EC,Other / Not classified
570,Acetazolamide Sodium,Acetazolamide Sodium,1,Overall,2019,,,,,,nan,,,,,S01EC,Other / Not classified
571,Acetazolamide Sodium,Acetazolamide Sodium,1,Overall,2020,,,,,,nan,,,,,S01EC,Other / Not classified
572,Acetazolamide Sodium,Acetazolamide Sodium,1,Overall,2021,,,,,,nan,,,,,S01EC,Other / Not classified
573,Acetazolamide Sodium,Acetazolamide Sodium,1,Overall,2022,,,,,,nan,,,,,S01EC,Other / Not classified
580,Acetic Acid*,Acetic Acid,6,Overall,2019,-0.041540499,-0.071354511,29.643593065,20.915900512,1.1029535388,0.0,35588.0,50438.0,27239489.467,1054956.19,G01AD|S02AA,Other / Not classified
581,Acetic Acid*,Acetic Acid,6,Overall,2020,-0.041540499,-0.071354511,32.242477245,21.594318611,1.1277807801,0.0,34058.0,50852.0,28006305.001,1098114.29,G01AD|S02AA,Other / Not classified
582,Acetic Acid*,Acetic Acid,6,Overall,2021,-0.041540499,-0.071354511,33.267728577,21.402266001,1.1066917437,0.0,36607.0,56902.0,30500223.286,1217831.74,G01AD|S02AA,Other / Not classified
583,Acetic Acid*,Acetic Acid,6,Overall,2022,-0.041540499,-0.071354511,33.916411898,20.80321191,1.0023106231,0.0,38728.0,63140.0,39855522.99,1313514.8,G01AD|S02AA,Other / Not classified
584,Acetic Acid*,Acetic Acid,6,Overall,2023,-0.041540499,-0.071354511,36.940989197,21.322394525,0.9307912383,0.0,43136.0,74733.0,51844937.082,1593486.51,G01AD|S02AA,Other / Not classified
615,Acetylcysteine*,Acetylcysteine,9,Overall,2019,0.0522267139,-0.042162206,269.21106915,70.647510873,0.8300629529,0.0,7361.0,28050.0,2369608.0,1981662.68,R05CB|S01XA|V03AB,Other / Not classified
616,Acetylcysteine*,Acetylcysteine,9,Overall,2020,0.0522267139,-0.042162206,339.23592348,83.631416738,0.8781550513,0.0,5149.0,20886.0,1956389.28,1746725.77,R05CB|S01XA|V03AB,Other / Not classified
617,Acetylcysteine*,Acetylcysteine,9,Overall,2021,0.0522267139,-0.042162206,395.13163407,95.800268323,0.9431729167,0.0,4039.0,16659.0,1611947.639,1595936.67,R05CB|S01XA|V03AB,Other / Not classified
618,Acetylcysteine*,Acetylcysteine,9,Overall,2022,0.0522267139,-0.042162206,421.76762202,105.19249005,1.0623224404,0.0,4323.0,17333.0,1650286.236,1823301.43,R05CB|S01XA|V03AB,Other / Not classified
619,Acetylcysteine*,Acetylcysteine,9,Overall,2023,0.0522267139,-0.042162206,379.7994472,100.0999307,1.0175325829,0.0,4830.0,18326.0,1767686.0,1834431.33,R05CB|S01XA|V03AB,Other / Not classified
665,Aciphex,Rabeprazole Sodium,2,Overall,2019,0.0898918975,0.1879047204,5920.0542509,1238.561199,17.063811402,0.0,3324.0,15888.0,1153216.0,19678260.33,A02BC,Other / Not classified
666,Aciphex,Rabeprazole Sodium,2,Overall,2020,0.0898918975,0.1879047204,6154.8756837,1299.392109,16.989249426,0.0,2940.0,13926.0,1065105.0,18095334.51,A02BC,Other / Not classified
667,Aciphex,Rabeprazole Sodium,2,Overall,2021,0.0898918975,0.1879047204,6460.1139377,1412.6386604,17.840855529,0.0,2504.0,11451.0,906690.0,16176125.3,A02BC,Other / Not classified
668,Aciphex,Rabeprazole Sodium,2,Overall,2022,0.0898918975,0.1879047204,7418.4870654,1681.9114652,20.268804329,0.0,2140.0,9439.0,781493.0,15875562.32,A02BC,Other / Not classified
669,Aciphex,Rabeprazole Sodium,2,Overall,2023,0.0898918975,0.1879047204,8864.5058407,2088.1957844,24.077408339,0.0,1820.0,7726.0,668561.0,16133400.63,A02BC,Other / Not classified
680,Acitretin,Acitretin,5,Overall,2019,-0.043591887,-0.026652178,2532.56815,521.34673344,14.780263274,0.0,9054.0,43982.0,1556927.43,22929872.03,D05BB,Other / Not classified
681,Acitretin,Acitretin,5,Overall,2020,-0.043591887,-0.026652178,2512.5074806,536.51038097,14.079717111,0.0,9153.0,42864.0,1638971.519,22996980.97,D05BB,Other / Not classified
682,Acitretin,Acitretin,5,Overall,2021,-0.043591887,-0.026652178,2304.6713066,512.85237583,12.818927126,0.0,9238.0,41514.0,1667594.341,21290553.53,D05BB,Other / Not classified
683,Acitretin,Acitretin,5,Overall,2022,-0.043591887,-0.026652178,2307.8820809,516.52083595,12.705364065,0.0,9068.0,40517.0,1657959.0,20927874.71,D05BB,Other / Not classified
684,Acitretin,Acitretin,5,Overall,2023,-0.043591887,-0.026652178,2264.5880254,504.74634332,12.366738435,0.0,9207.0,41308.0,1693014.0,20850061.95,D05BB,Other / Not classified
710,Actemra Actpen,Tocilizumab,1,Overall,2019,0.0354773036,0.0680123872,14609.292838,3851.0946629,1156.9634357,0.0,1177.0,4465.0,14862.3,17195137.67,L04AC,Arthritis
711,Actemra Actpen,Tocilizumab,1,Overall,2020,0.0354773036,0.0680123872,20539.022088,3962.3263057,1195.6641105,0.0,2740.0,14203.0,47067.5,56276920.52,L04AC,Arthritis
712,Actemra Actpen,Tocilizumab,1,Overall,2021,0.0354773036,0.0680123872,20937.111412,3867.2148069,1241.1457302,0.0,4442.0,24049.0,74932.9,93002648.89,L04AC,Arthritis
713,Actemra Actpen,Tocilizumab,1,Overall,2022,0.0354773036,0.0680123872,23059.893644,3867.2878567,1245.3908786,0.0,5485.0,32706.0,101561.3,126483516.64,L04AC,Arthritis
