Gnrc_Name,ATC_Codes,Disease_Category
Fluoride (Sodium),,
Fluorometholone,C05AA|D07AB|D07XB|D10AA|S01BA|S01CB,
Fluorometholone Acetate,C05AA|D07AB|D07XB|D10AA|S01BA|S01CB,
Fluorouracil,L01BC,
Fluoxetine HCl,,
Fluphenazine Decanoate,N05AB,
Fluphenazine HCl,,
Flurandrenolide,D07AC,
Flurazepam HCl,,
Flurbiprofen,M01AE|M02AA|R02AX|S01BC,Arthritis
Flurbiprofen Sodium,M01AE|M02AA|R02AX|S01BC,Arthritis
Flutamide,L02BB,
Fluticasone Furoate,D07AC|R01AD|R03BA,
Fluticasone Propion/Salmeterol,,
Fluticasone Propionate,D07AC|R01AD|R03AK|R03BA,
Fluticasone/Umeclidin/Vilanter,,
Fluticasone/Vilanterol,,
Fluvastatin Sodium,C10AA,High Cholesterol
Fluvoxamine Maleate,N06AB,
Folic Acid,B03AD|B03BB|V04CX,
